id,trigger,conditions,script,text,New Column,options,New Column 2,notes,Column
gaProbeObjectInteractionMissing,GAProbeInteraction,$gaProbe_variation == PACKAGE_MISSING,,"Your $shipOrFleet approaches the probe, finding it exactly where Sebestyen's specifications told you it would be. 

""No power source detected. Mass lower than expected. No debris. Nav ping- no response,"" your sensors officer reports. ""Probe hull looks intact, captain."" 

The salvage team maneuvers toward the probe and you watch the displays flare as a few clean cuts open the casing. Confused chatter fills the comms.

""Zero that loose talk,"" barks your ops chief. ""EVA team lead, report!""","
",gaProbe_missing1:Continue,,,
gaProbeObjectInteractionMissing1,DialogOptionSelected,$option == gaProbe_missing1,,"Over comms, the report comes in, ""It's empty, chief. Conduits sheared off cleanly. No instrument package. Nothing.""

Later, after the salvage team returns, you review their findings with your bridge crew. It appears as though a perfect sphere has been scooped from the center of the probe, taking most of the Galatia Academy's precious instrument package with it.

Theories are proposed. Black hole. Aliens; this prompts a round of polite laughter. Your nav officer steps up and explains that it is theoretically possible to bulk phase-shift matter at a distance, though the process was never considered particularly economical even in the late cycles of the Domain. Your operations chief looks skeptical of the entire notion.","
",gaProbe_missing2:Continue,,,
gaProbeObjectInteractionMissing2,DialogOptionSelected,$option == gaProbe_missing2,"$global.gaProbe_canReturn = true
Call $global.gaProbe_ref updateStage
DespawnEntity","Whatever did this, it means you don't have an instrument package to return to the Galatia Academy. You order all telemetry and holo-feed from the encounter attached to the encrypted mission file. The academicians love data, the more the better. This should be enough to demonstrate that you did your job to the letter. Maybe the mystery at the heart of it will distract them long enough for you to get paid.","
",defaultLeave:Leave,,,
,,,,,"
",,,,
# returned to Sebestyen,,,,,"
",,,,
gaProbeMissionReturn,PickGreeting,"$gaProbe_returnHere score:1000
Call $global.gaProbe_ref updateData
$gaProbe_variation != IT_BLEW_UP
$gaProbe_variation != PACKAGE_MISSING
FireBest ASEBMissionReturn",ShowPersonVisual,"""Wonderful! I've just confirmed that the $gaProbe_department has received the instrument package and they're, oh. Um. I mean, they are very... happy? And um, they wanted me to... thank you for ensuring that it is almost completely intact."" 

Sebestyen has that look of trying to avoid telling the full story here. Probably best to let him off the hook with this one. He clears his throat to fill the growing silence as you maintain a strictly professional expression. ""I've confirmed with the finance office and your payment should be released now.""
OR
""Hello captain, I just got the news!"" Sebestyen pauses a moment, as if expecting you to know exactly what he's talking about. ""Um, from Logistics? They just received the instrument package from your $shipOrFleet. For $gaProbe_department?""

You nod to acknowledge the transfer of material as per your mission requirements. 

""Um, good job. No, great job! The finance department should release payment immediately."" He seems a little disappointed that you aren't as excited as he is, but he shrugs and soldiers on.","
",gaProbe_finish:Continue,,,
gaProbeMissionReturnFinish,DialogOptionSelected,$option == gaProbe_finish,"$global.gaProbe_finished = true
Call $global.gaProbe_ref updateStage",,"
",contact_pickAnotherGreeting:Continue,,,
gaProbeMissionReturnHazard,PickGreeting,"$gaProbe_returnHere score:1000
Call $global.gaProbe_ref updateData
$gaProbe_variation == IT_BLEW_UP
FireBest ASEBMissionReturn",,"Sebestyen lights up as the comms channel opens, ""Captain, hello! Logistics just received the instrument package, and even despite minor damage they've decided... um, is something the matter?""","
","gaProbe_returnHazard:Calmly explain the concept of a hazard bonus
gaProbe_itsNothing:""It's nothing. You were saying?""",,,
gaProbeMissionReturnHazardNothing,DialogOptionSelected,$option == gaProbe_itsNothing,"$global.gaProbe_finished = true
Call $global.gaProbe_ref updateStage","He clears his throat as you maintain a strictly professional expression, and continues ""I've confirmed with the finance office and your payment should be released now. Great work!""","
",contact_pickAnotherGreeting:Continue,,,
gaProbeMissionReturnHazardBonus,DialogOptionSelected,$option == gaProbe_returnHazard,"Call $global.gaProbe_ref updateReward
Call $global.gaProbe_ref updateData","You explain that the instrument package in the probe turned out to be exceptionally dangerous and that, as a professional, you expect to be informed of the possibility of such danger. A hazard bonus added to mission payment seems like a fair compromise in this case, with the amount proportionate to the danger faced. 

To emphasize your request, you tap a key and transmit documentation of the blasted derelicts surrounding the probe; and the spinning debris- if you look closely, is that... no, don't look too closely.

Academician Sebestyen looks queasy. ""Um. Pardon me captain; just a moment.""","
",gaProbe_returnHazard1:Continue ,,,
gaProbeMissionReturnHazardBonus1,DialogOptionSelected,$option == gaProbe_returnHazard1,"Highlight $gaProbe_reward
$global.gaProbe_finished = true
Call $global.gaProbe_ref updateStage","A few minutes later Sebestyen re-activates the on-hold comms line. Out of professional courtesy you stop drumming your fingers on the console.

""I'm very, very, very sorry about the whole situation, captain,"" he stammers, ""I um, had a quick chat with finance and they've agreed to add a fifty percent, um, hazard bonus? To your payment. So that makes it $gaProbe_reward credits. I really, really hope you choose to continue to work with us.","
",contact_pickAnotherGreeting:Continue,,,
gaProbeMissionReturnMissing,PickGreeting,"$gaProbe_returnHere score:1000
Call $global.gaProbe_ref updateData
$gaProbe_variation == PACKAGE_MISSING
FireBest ASEBMissionReturn",,"Sebestyen looks up from a datapad as the comms open. ""Captain! Back so soon? I thought you were, ah- "" He trails off at your look.

You explain the situation surrounding the probe's missing instrument package to the academician.

""Fascinating! Ooh, it's even better than I ever expected."" He claps his hands once in excitement, ""I can't wait to see what the $gaProbe_department makes of this. Um. If it's okay I'll just forward this file to them now-""","
","gaProbe_returnMissing1:""About the payment.""",,,
gaProbeMissionReturnMissing1,DialogOptionSelected,$option == gaProbe_returnMissing1,"$global.gaProbe_finished = true
Call $global.gaProbe_ref updateStage","""Oh yes, of course,"" he says. ""Payment first, then the data transfer."" Sebestyen taps at a display and you note the ping of incoming funds on your personal TriPad.","
",contact_pickAnotherGreeting:Continue,,,
,,,,,"
",,,,
